fecha	rondas	tirosRonda	cuantil	tirosFinal	tiros_total	tasa_eleccion_correcta	ganancia
20220522 120817	37	13	0.584675295455954	534	-1	0	0
20220522 120953	16	102	0.546856795320337	134	-1	0	0
20220522 120956	7	80	0.8701054984329	422	-1	0	0
20220522 121019	11	46	0.385595670762448	830	-1	0	0
20220522 121044	1	88	0.248301184549147	318	32650	0.9704	0.752733333333333
20220522 121059	42	36	0.271493017503654	232	-1	0	0
20220522 121102	34	42	0.743443311712753	312	-1	0	0
20220522 121126	16	149	0.325881908201481	489	-1	0	0
20220522 121143	7	167	0.874466610150192	807	-1	0	0
20220522 121246	7	24	0.603081609970186	747	-1	0	0
20220522 121314	9	5	0.716344587498136	480	-1	0	0
20220522 121319	47	42	0.42530051767951	601	-1	0	0
20220522 121347	30	75	0.480136915125996	98	-1	0	0
20220522 121412	22	94	0.461078899704016	980	-1	0	0
20220522 121456	3	196	0.656712706339602	655	31236	0.9948	0.78656
20220522 121502	6	130	0.31968417318871	665	42385	0.9972	0.714633333333333
20220522 121603	2	200	0.310666623933968	531	58757	0.9982	0.606486666666667
20220522 121614	2	200	0.18109554942988	899	96633	0.9998	0.35558
20220522 121615	3	183	0.33692656591354	515	53365	0.998	0.642233333333333
20220522 121615	3	183	0.335766881019024	511	53249	0.9988	0.643806666666667
20220522 121617	3	200	0.309445269519767	469	58208	0.997	0.608946666666667
20220522 121652	1	200	0.612389942676102	64	22496	0	-0.149973333333333
20220522 121708	2	120	0.296444138358297	286	34414	0.9602	0.730773333333333
20220522 121708	2	121	0.300477342252939	302	35368	0.971	0.735213333333333
20220522 121708	2	121	0.296507873907463	309	35711	0.969	0.730926666666667
20220522 121709	2	119	0.292301730645041	363	38499	0.9874	0.73074
20220522 121742	4	5	0.524105054246553	86	1143	0.067	0.067
20220522 121808	3	114	0.661489495084888	798	19836	0.9628	0.83056
20220522 121809	3	121	0.664129412235568	800	20866	0.9726	0.833493333333333
20220522 121809	3	129	0.660549510264317	806	22058	0.9754	0.828346666666667
20220522 121810	3	141	0.662382330624632	754	23602	0.9832	0.825853333333333
20220522 121912	3	116	0.856537433920644	937	14625	0.7698	0.7698
20220522 121914	3	128	0.830374832292296	895	16255	0.871	0.762633333333333
20220522 121916	3	108	0.721020901209732	837	16362	0.9164	0.80732
20220522 121917	3	116	0.703473631844149	866	18722	0.9518	0.826986666666667
20220522 121917	3	117	0.686192953371271	839	19131	0.9544	0.82686
20220522 122050	3	121	0.667314384289631	548	19616	0.956	0.825226666666667
20220522 122050	3	121	0.66716754599848	693	20196	0.9646	0.82996
20220522 122050	3	119	0.666794383120378	824	20432	0.9598	0.823586666666667
20220522 122051	3	121	0.666369041855822	477	19574	0.9694	0.838906666666667
20220522 122133	6	193	0.100040073804682	79	93581	0	-0.623873333333333
20220522 122240	3	123	0.627417130987481	458	20863	0.9776	0.838513333333333
20220522 122242	3	121	0.544151648377608	419	24397	0.9892	0.826553333333333
20220522 122248	6	33	0.556522070055679	1000	6907	0.023	0.023
20220522 122303	6	50	0.510965528403267	1000	10700	0.353	0.353
20220522 122310	5	123	0.410974916892611	1000	34921	0.9916	0.758793333333333
20220522 122356	2	75	0.724407837887028	337	12296	0.9096	0.9096
20220522 122358	2	110	0.717105430971213	399	17382	0.9738	0.85792
20220522 122400	2	112	0.592182184680376	395	22507	0.9884	0.838353333333333
20220522 122410	3	123	0.651791447496974	428	19793	0.972	0.840046666666667
20220522 122445	6	177	0.387886064585081	999	48006	0.9974	0.67736
20220522 122513	2	11	0.899907336674089	781	1991	0.0864	0.0864
20220522 122525	2	24	0.699166439262627	424	6936	0.5752	0.5752
20220522 122534	2	79	0.704635102827043	423	14077	0.9374	0.9374
20220522 122623	6	115	0.335312016604626	1000	39050	0.9918	0.731466666666667
20220522 122624	6	115	0.311414866912353	1000	42775	0.9958	0.710633333333333
20220522 122645	24	6	0.894190374363147	82	-1	0	0
20220522 122725	2	79	0.672112253082924	414	15061	0.9512	0.850793333333333
20220522 122731	2	74	0.439219003980467	352	22456	0.979	0.829293333333333
20220522 122731	2	74	0.428015248667237	342	22904	0.9768	0.824106666666667
20220522 122731	2	68	0.398248083131905	303	21788	0.966	0.820746666666667
20220522 122904	2	84	0.709603156696894	462	14994	0.9392	0.9392
20220522 122905	2	83	0.71074516683219	463	14874	0.9406	0.9406
20220522 122905	2	83	0.707389645153901	447	14730	0.9434	0.9434
20220522 122913	2	91	0.533167317565435	785	30647	0.992	0.787686666666667
20220522 122915	2	90	0.519962454710072	991	36113	0.9932	0.752446666666667
