fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 203909	-0.194941985786136	4938	750	14	5	8874000	1
20220520 203944	-0.244572886588867	6216	1210	13	5	8537000	2
20220520 204016	-0.169270694156876	3101	864	9	5	9901000	3
20220520 204050	-0.809607477327518	923	397	8	5	9567000	4
20220520 204114	-0.494109492412826	2797	1262	5	5	8944000	5
20220520 204145	-0.655048485373845	5886	1630	12	5	8669000	6
20220520 204214	-0.0214353840361581	7337	509	8	5	8277000	7
20220520 204253	-0.662559256382519	6971	232	15	5	8277000	8
20220520 204309	0.0916615468493547	4475	1611	5	5	0	9
20220520 204357	-0.953928258638189	1811	73	19	5	9570000	10
20220520 204423	-0.891376013260742	7661	1929	7	5	8237000	11
20220520 204440	-0.555955361825181	3612	367	3	5	8919000	12
20220520 204513	-0.346954783645924	5388	1032	16	5	9027000	13
20220520 204530	-0.0591915312921628	4927	1308	3	5	9115000	14
20220520 204601	-0.834567802244176	6662	1740	16	5	8366000	15
20220520 204639	-0.297888431915392	2197	553	12	5	10274000	16
20220520 204657	-0.10913321807373	1458	398	3	5	8919000	17
20220520 204719	-0.337704254715173	532	261	3	5	8919000	18
20220520 204738	-0.284490924430126	2078	1032	3	5	8902000	19
20220520 204843	-0.297876784754809	2237	1	20	5	9361000	20
20220520 204900	-0.895037859843565	67	2	3	5	8420000	21
20220520 204918	-0.123455580826039	7992	1147	3	5	8178000	22
20220520 204955	-0.14131282145244	2430	1214	20	5	9147000	23
20220520 205031	-0.999990614157584	2176	1088	20	5	9829000	24
20220520 205110	-0.999923597153828	7048	425	20	5	8277000	25
20220520 205147	-0.933509897275112	2183	1091	20	5	9597000	26
20220520 205205	-0.740970997134893	1984	992	3	5	8880000	27
20220520 205244	-0.974289927404932	1213	606	11	5	9547000	28
20220520 205324	-0.310970464619332	1367	681	19	5	9898000	29
20220520 205405	-0.249368057053932	974	478	12	5	9505000	30
20220520 205446	-0.422060950262872	2507	478	14	5	9851000	31
20220520 205550	-0.76699948442041	18	4	20	5	5619000	32
20220520 205608	-0.828077652700857	3192	797	3	5	8866000	33
20220520 205649	-0.362485196935876	1619	562	13	5	9368000	34
20220520 205725	-0.462980174139589	7314	324	12	5	8277000	35
20220520 205759	-0.308607142064776	3148	1567	13	5	8916000	36
20220520 205831	-0.975371027506088	3896	1948	18	5	8712000	37
20220520 205913	-0.484873332928435	1221	610	20	5	9547000	38
20220520 205951	-0.309675027599519	3665	474	12	5	9510000	39
20220520 210028	-0.429275984846793	2320	1159	20	5	9376000	40
20220520 210109	-0.29196780477017	1284	638	14	5	9850000	41
